SampleNumber,Test,Location,CollectDate,CollectTime,OrderDetails_User1,OrderDetails_User2,OrderDetails_User4,OrderDetails_User3,Result,Param,Results_Units,Site
250605003-003,NOX,,03-Jun-25,00-Jan-00,1.2,,B,18,5.093,NOX,ugN/L,North-Bot-B
250605003-003,tNH3,,03-Jun-25,00-Jan-00,1.2,,B,18,5.561,tNH3,ugN/L,North-Bot-B
250605003-003,Alk,,03-Jun-25,00-Jan-00,1.2,,B,18,62.000000,Alk,mg/L as CaCO3,North-Bot-B
250605003-003,pH_L,,03-Jun-25,00-Jan-00,1.2,,B,18,7.80,pH_L,,North-Bot-B
250605003-004,TDP,,03-Jun-25,00-Jan-00,1.2,,,,10.228,TDP,ugP/L,North-Epi
250605003-004,TP,,03-Jun-25,00-Jan-00,1.2,,,,17.984,TP,ugP/L,North-Epi
250605003-004,tNH3,,03-Jun-25,00-Jan-00,1.2,,,,2.627,tNH3,ugN/L,North-Epi
250605003-004,TN,,03-Jun-25,00-Jan-00,1.2,,,,253.726,TN,ugN/L,North-Epi
250605003-004,NOX,,03-Jun-25,00-Jan-00,1.2,,,,3.842,NOX,ugN/L,North-Epi
250605003-004,Alk,,03-Jun-25,00-Jan-00,1.2,,,,62.950000,Alk,mg/L as CaCO3,North-Epi
250605003-004,pH_L,,03-Jun-25,00-Jan-00,1.2,,,,7.95,pH_L,,North-Epi
250605003-005,TDP,,03-Jun-25,00-Jan-00,1.2,,,14,11.586,TDP,ugP/L,North-Hyp
250605003-005,tNH3,,03-Jun-25,00-Jan-00,1.2,,,14,20.333,tNH3,ugN/L,North-Hyp
250605003-005,TP,,03-Jun-25,00-Jan-00,1.2,,,14,21.858,TP,ugP/L,North-Hyp
250605003-005,TN,,03-Jun-25,00-Jan-00,1.2,,,14,293.642,TN,ugN/L,North-Hyp
250605003-005,NOX,,03-Jun-25,00-Jan-00,1.2,,,14,4.696,NOX,ugN/L,North-Hyp
250605003-005,Alk,,03-Jun-25,00-Jan-00,1.2,,,14,62.000000,Alk,mg/L as CaCO3,North-Hyp
250605003-005,pH_L,,03-Jun-25,00-Jan-00,1.2,,,14,7.84,pH_L,,North-Hyp
250605003-006,tNH3,,03-Jun-25,00-Jan-00,1.2,,,6,109.889,tNH3,ugN/L,North-Met
250605003-006,TDP,,03-Jun-25,00-Jan-00,1.2,,,6,12.148,TDP,ugP/L,North-Met
250605003-006,TP,,03-Jun-25,00-Jan-00,1.2,,,6,17.271,TP,ugP/L,North-Met
250605003-006,TN,,03-Jun-25,00-Jan-00,1.2,,,6,249.85,TN,ugN/L,North-Met
250605003-006,NOX,,03-Jun-25,00-Jan-00,1.2,,,6,5.85,NOX,ugN/L,North-Met
250605003-006,Alk,,03-Jun-25,00-Jan-00,1.2,,,6,62.000000,Alk,mg/L as CaCO3,North-Met
250605003-006,pH_L,,03-Jun-25,00-Jan-00,1.2,,,6,7.96,pH_L,,North-Met
250619003-001,NOX,,19-Jun-25,00-Jan-00,1.5,,,,10.621,NOX,ugN/L,North-Epi
250619003-001,TP,,19-Jun-25,00-Jan-00,1.5,,,,11.759,TP,ugP/L,North-Epi
250619003-001,tNH3,,19-Jun-25,00-Jan-00,1.5,,,,13.049,tNH3,ugN/L,North-Epi
250619003-001,TN,,19-Jun-25,00-Jan-00,1.5,,,,275.095,TN,ugN/L,North-Epi
250619003-001,Alk,,19-Jun-25,00-Jan-00,1.5,,,,63.950000,Alk,mg/L as CaCO3,North-Epi
250619003-001,pH_L,,19-Jun-25,00-Jan-00,1.5,,,,8.16,pH_L,,North-Epi
250619003-001,TDP,,19-Jun-25,00-Jan-00,1.5,,,,8.558,TDP,ugP/L,North-Epi
250619003-002,NOX,,19-Jun-25,00-Jan-00,1.5,,,7.5,-0.017,NOX,ugN/L,North-Met
250619003-002,TDP,,19-Jun-25,00-Jan-00,1.5,,,7.5,10.06,TDP,ugP/L,North-Met
250619003-002,tNH3,,19-Jun-25,00-Jan-00,1.5,,,7.5,12.557,tNH3,ugN/L,North-Met
250619003-002,TP,,19-Jun-25,00-Jan-00,1.5,,,7.5,16.656,TP,ugP/L,North-Met
250619003-002,TN,,19-Jun-25,00-Jan-00,1.5,,,7.5,257.316,TN,ugN/L,North-Met
250619003-002,Alk,,19-Jun-25,00-Jan-00,1.5,,,7.5,62.000000,Alk,mg/L as CaCO3,North-Met
250619003-002,pH_L,,19-Jun-25,00-Jan-00,1.5,,,7.5,7.99,pH_L,,North-Met
250619003-003,NOX,,19-Jun-25,00-Jan-00,1.5,,,10,13.463,NOX,ugN/L,North-Hyp
250619003-003,TDP,,19-Jun-25,00-Jan-00,1.5,,,10,16.022,TDP,ugP/L,North-Hyp
250619003-003,TP,,19-Jun-25,00-Jan-00,1.5,,,10,20.535,TP,ugP/L,North-Hyp
250619003-003,TN,,19-Jun-25,00-Jan-00,1.5,,,10,223.366,TN,ugN/L,North-Hyp
250619003-003,tNH3,,19-Jun-25,00-Jan-00,1.5,,,10,29.648,tNH3,ugN/L,North-Hyp
250619003-003,Alk,,19-Jun-25,00-Jan-00,1.5,,,10,63.950000,Alk,mg/L as CaCO3,North-Hyp
250619003-003,pH_L,,19-Jun-25,00-Jan-00,1.5,,,10,7.74,pH_L,,North-Hyp
250619003-004,TN,,19-Jun-25,00-Jan-00,1.5,,,17.5,251.656,TN,ugN/L,North-Bot-A
250619003-004,TDP,,19-Jun-25,00-Jan-00,1.5,,,17.5,29.13,TDP,ugP/L,North-Bot-A
250619003-004,TP,,19-Jun-25,00-Jan-00,1.5,,,17.5,38.14,TP,ugP/L,North-Bot-A
250619003-004,tNH3,,19-Jun-25,00-Jan-00,1.5,,,17.5,49.491,tNH3,ugN/L,North-Bot-A
250619003-004,Alk,,19-Jun-25,00-Jan-00,1.5,,,17.5,62.000000,Alk,mg/L as CaCO3,North-Bot-A
250619003-004,pH_L,,19-Jun-25,00-Jan-00,1.5,,,17.5,7.73,pH_L,,North-Bot-A
250619003-004,NOX,,19-Jun-25,00-Jan-00,1.5,,,17.5,9.705,NOX,ugN/L,North-Bot-A
250619003-005,NOX,,19-Jun-25,00-Jan-00,1.5,,,17.5,10.602,NOX,ugN/L,North-Bot-B
250619003-005,TN,,19-Jun-25,00-Jan-00,1.5,,,17.5,257.218,TN,ugN/L,North-Bot-B
250619003-005,TDP,,19-Jun-25,00-Jan-00,1.5,,,17.5,30.929,TDP,ugP/L,North-Bot-B
250619003-005,TP,,19-Jun-25,00-Jan-00,1.5,,,17.5,40.533,TP,ugP/L,North-Bot-B
250619003-005,tNH3,,19-Jun-25,00-Jan-00,1.5,,,17.5,45.373,tNH3,ugN/L,North-Bot-B
250619003-005,Alk,,19-Jun-25,00-Jan-00,1.5,,,17.5,64.950000,Alk,mg/L as CaCO3,North-Bot-B
250619003-005,pH_L,,19-Jun-25,00-Jan-00,1.5,,,17.5,7.40,pH_L,,North-Bot-B
250619003-006,TP,,19-Jun-25,00-Jan-00,1.5,,,,-0.317,TP,ugP/L,Field Blank
250619003-006,TDP,,19-Jun-25,00-Jan-00,1.5,,,,1.219,TDP,ugP/L,Field Blank
250619003-006,TN,,19-Jun-25,00-Jan-00,1.5,,,,-12.128,TN,ugN/L,Field Blank
250619003-006,NOX,,19-Jun-25,00-Jan-00,1.5,,,,-2.484,NOX,ugN/L,Field Blank
250619003-006,Alk,,19-Jun-25,00-Jan-00,1.5,,,,2.950000,Alk,mg/L as CaCO3,Field Blank
250619003-006,pH_L,,19-Jun-25,00-Jan-00,1.5,,,,5.80,pH_L,,Field Blank
250619003-006,tNH3,,19-Jun-25,00-Jan-00,1.5,,,,7.382,tNH3,ugN/L,Field Blank
250703006-001,Alk,,01-Jul-25,00-Jan-00,4.3,,,,1.950000,Alk,mg/L as CaCO3,Field Blank
250703006-001,TN,,01-Jul-25,00-Jan-00,4.3,,,,17.142,TN,ugN/L,Field Blank
250703006-001,NOX,,01-Jul-25,00-Jan-00,4.3,,,,27.054,NOX,ugN/L,Field Blank
250703006-001,TDP,,01-Jul-25,00-Jan-00,4.3,,,,3.02,TDP,ugP/L,Field Blank
250703006-001,pH_L,,01-Jul-25,00-Jan-00,4.3,,,,5.68,pH_L,,Field Blank
250703006-001,TP,,01-Jul-25,00-Jan-00,4.3,,,,6.458,TP,ugP/L,Field Blank
250703006-001,tNH3,,01-Jul-25,00-Jan-00,4.3,,,,6.489,tNH3,ugN/L,Field Blank
250703006-002,TDP,,01-Jul-25,00-Jan-00,4.3,,,,11.328,TDP,ugP/L,North-Epi
250703006-002,TP,,01-Jul-25,00-Jan-00,4.3,,,,16.195,TP,ugP/L,North-Epi
250703006-002,tNH3,,01-Jul-25,00-Jan-00,4.3,,,,18.406,tNH3,ugN/L,North-Epi
250703006-002,NOX,,01-Jul-25,00-Jan-00,4.3,,,,25.128,NOX,ugN/L,North-Epi
250703006-002,TN,,01-Jul-25,00-Jan-00,4.3,,,,472.446,TN,ugN/L,North-Epi
250703006-002,Alk,,01-Jul-25,00-Jan-00,4.3,,,,62.000000,Alk,mg/L as CaCO3,North-Epi
250703006-002,pH_L,,01-Jul-25,00-Jan-00,4.3,,,,8.56,pH_L,,North-Epi
250703006-003,NOX,,01-Jul-25,00-Jan-00,4.3,,,5.5,0.900,NOX,ugN/L,North-Met
250703006-003,TDP,,01-Jul-25,00-Jan-00,4.3,,,5.5,10.078,TDP,ugP/L,North-Met
250703006-003,TP,,01-Jul-25,00-Jan-00,4.3,,,5.5,13.78,TP,ugP/L,North-Met
250703006-003,tNH3,,01-Jul-25,00-Jan-00,4.3,,,5.5,20.483,tNH3,ugN/L,North-Met
250703006-003,TN,,01-Jul-25,00-Jan-00,4.3,,,5.5,374.977,TN,ugN/L,North-Met
250703006-003,Alk,,01-Jul-25,00-Jan-00,4.3,,,5.5,62.000000,Alk,mg/L as CaCO3,North-Met
250703006-003,pH_L,,01-Jul-25,00-Jan-00,4.3,,,5.5,8.45,pH_L,,North-Met
250703006-004,TDP,,01-Jul-25,00-Jan-00,4.3,,,7.0,27.348,TDP,ugP/L,North-Hyp
250703006-004,TP,,01-Jul-25,00-Jan-00,4.3,,,7.0,29.877,TP,ugP/L,North-Hyp
250703006-004,TN,,01-Jul-25,00-Jan-00,4.3,,,7.0,361.854,TN,ugN/L,North-Hyp
250703006-004,NOX,,01-Jul-25,00-Jan-00,4.3,,,7.0,46.291,NOX,ugN/L,North-Hyp
250703006-004,Alk,,01-Jul-25,00-Jan-00,4.3,,,7.0,63.950000,Alk,mg/L as CaCO3,North-Hyp
250703006-004,tNH3,,01-Jul-25,00-Jan-00,4.3,,,7.0,65.799,tNH3,ugN/L,North-Hyp
250703006-004,pH_L,,01-Jul-25,00-Jan-00,4.3,,,7.0,7.53,pH_L,,North-Hyp
250703006-005,TN,,01-Jul-25,00-Jan-00,4.3,,A,18,470.469,TN,ugN/L,North-Bot-A
250703006-005,Alk,,01-Jul-25,00-Jan-00,4.3,,A,18,64.950000,Alk,mg/L as CaCO3,North-Bot-A
250703006-005,TDP,,01-Jul-25,00-Jan-00,4.3,,A,18,68.77,TDP,ugP/L,North-Bot-A
250703006-005,pH_L,,01-Jul-25,00-Jan-00,4.3,,A,18,7.33,pH_L,,North-Bot-A
250703006-005,NOX,,01-Jul-25,00-Jan-00,4.3,,A,18,77.157,NOX,ugN/L,North-Bot-A
250703006-005,TP,,01-Jul-25,00-Jan-00,4.3,,A,18,78.635,TP,ugP/L,North-Bot-A
250703006-005,tNH3,,01-Jul-25,00-Jan-00,4.3,,A,18,93.605,tNH3,ugN/L,North-Bot-A
250703006-006,TN,,01-Jul-25,00-Jan-00,4.3,,B,18,439.841,TN,ugN/L,North-Bot-B
250703006-006,NOX,,01-Jul-25,00-Jan-00,4.3,,B,18,55.452,NOX,ugN/L,North-Bot-B
250703006-006,Alk,,01-Jul-25,00-Jan-00,4.3,,B,18,65.900000,Alk,mg/L as CaCO3,North-Bot-B
250703006-006,pH_L,,01-Jul-25,00-Jan-00,4.3,,B,18,7.33,pH_L,,North-Bot-B
250703006-006,TDP,,01-Jul-25,00-Jan-00,4.3,,B,18,70.488,TDP,ugP/L,North-Bot-B
250703006-006,TP,,01-Jul-25,00-Jan-00,4.3,,B,18,79.729,TP,ugP/L,North-Bot-B
250703006-006,tNH3,,01-Jul-25,00-Jan-00,4.3,,B,18,92.931,tNH3,ugN/L,North-Bot-B
250717004-001,TP,,15-Jul-25,00-Jan-00,4.5,,,,0.009,TP,ugP/L,Field Blank
250717004-001,TDP,,15-Jul-25,00-Jan-00,4.5,,,,0.813,TDP,ugP/L,Field Blank
250717004-001,Alk,,15-Jul-25,00-Jan-00,4.5,,,,2.000000,Alk,mg/L as CaCO3,Field Blank
250717004-001,tNH3,,15-Jul-25,00-Jan-00,4.5,,,,2.644,tNH3,ugN/L,Field Blank
250717004-001,NOX,,15-Jul-25,00-Jan-00,4.5,,,,3.034,NOX,ugN/L,Field Blank
250717004-001,TN,,15-Jul-25,00-Jan-00,4.5,,,,5.066,TN,ugN/L,Field Blank
250717004-001,pH_L,,15-Jul-25,00-Jan-00,4.5,,,,5.84,pH_L,,Field Blank
250717004-002,TP,,15-Jul-25,00-Jan-00,4.5,,,,14.205,TP,ugP/L,North-Epi
250717004-002,NOX,,15-Jul-25,00-Jan-00,4.5,,,,4.716,NOX,ugN/L,North-Epi
250717004-002,tNH3,,15-Jul-25,00-Jan-00,4.5,,,,4.776,tNH3,ugN/L,North-Epi
250717004-002,TN,,15-Jul-25,00-Jan-00,4.5,,,,512.635,TN,ugN/L,North-Epi
250717004-002,Alk,,15-Jul-25,00-Jan-00,4.5,,,,64.500000,Alk,mg/L as CaCO3,North-Epi
250717004-002,TDP,,15-Jul-25,00-Jan-00,4.5,,,,7.906,TDP,ugP/L,North-Epi
250717004-002,pH_L,,15-Jul-25,00-Jan-00,4.5,,,,8.73,pH_L,,North-Epi
250717004-003,TP,,15-Jul-25,00-Jan-00,4.5,,,6,21.961,TP,ugP/L,North-Met
250717004-003,TN,,15-Jul-25,00-Jan-00,4.5,,,6,429.771,TN,ugN/L,North-Met
250717004-003,NOX,,15-Jul-25,00-Jan-00,4.5,,,6,5.195,NOX,ugN/L,North-Met
250717004-003,Alk,,15-Jul-25,00-Jan-00,4.5,,,6,64.500000,Alk,mg/L as CaCO3,North-Met
250717004-003,pH_L,,15-Jul-25,00-Jan-00,4.5,,,6,7.67,pH_L,,North-Met
250717004-003,tNH3,,15-Jul-25,00-Jan-00,4.5,,,6,7.883,tNH3,ugN/L,North-Met
250717004-003,TDP,,15-Jul-25,00-Jan-00,4.5,,,6,8.399,TDP,ugP/L,North-Met
250717004-004,TDP,,15-Jul-25,00-Jan-00,4.5,,,9,27.026,TDP,ugP/L,North-Hyp
250717004-004,TN,,15-Jul-25,00-Jan-00,4.5,,,9,405.81,TN,ugN/L,North-Hyp
250717004-004,TP,,15-Jul-25,00-Jan-00,4.5,,,9,41.428,TP,ugP/L,North-Hyp
250717004-004,tNH3,,15-Jul-25,00-Jan-00,4.5,,,9,5.068,tNH3,ugN/L,North-Hyp
250717004-004,Alk,,15-Jul-25,00-Jan-00,4.5,,,9,65.550000,Alk,mg/L as CaCO3,North-Hyp
250717004-004,pH_L,,15-Jul-25,00-Jan-00,4.5,,,9,7.66,pH_L,,North-Hyp
250717004-004,NOX,,15-Jul-25,00-Jan-00,4.5,,,9,71.899,NOX,ugN/L,North-Hyp
250717004-005,TN,,15-Jul-25,00-Jan-00,4.5,,A,18,399.535,TN,ugN/L,North-Bot-A
250717004-005,tNH3,,15-Jul-25,00-Jan-00,4.5,,A,18,47.086,tNH3,ugN/L,North-Bot-A
250717004-005,TDP,,15-Jul-25,00-Jan-00,4.5,,A,18,55.111,TDP,ugP/L,North-Bot-A
250717004-005,NOX,,15-Jul-25,00-Jan-00,4.5,,A,18,57.092,NOX,ugN/L,North-Bot-A
250717004-005,TP,,15-Jul-25,00-Jan-00,4.5,,A,18,68.913,TP,ugP/L,North-Bot-A
250717004-005,Alk,,15-Jul-25,00-Jan-00,4.5,,A,18,69.650000,Alk,mg/L as CaCO3,North-Bot-A
250717004-005,pH_L,,15-Jul-25,00-Jan-00,4.5,,A,18,7.25,pH_L,,North-Bot-A
250717004-006,TN,,15-Jul-25,00-Jan-00,4.5,,B,18,390.611,TN,ugN/L,North-Bot-B
250717004-006,tNH3,,15-Jul-25,00-Jan-00,4.5,,B,18,56.67,tNH3,ugN/L,North-Bot-B
250717004-006,pH_L,,15-Jul-25,00-Jan-00,4.5,,B,18,7.19,pH_L,,North-Bot-B
250717004-006,NOX,,15-Jul-25,00-Jan-00,4.5,,B,18,71.226,NOX,ugN/L,North-Bot-B
250717004-006,Alk,,15-Jul-25,00-Jan-00,4.5,,B,18,71.700000,Alk,mg/L as CaCO3,North-Bot-B
250717004-006,TDP,,15-Jul-25,00-Jan-00,4.5,,B,18,71.837,TDP,ugP/L,North-Bot-B
250717004-006,TP,,15-Jul-25,00-Jan-00,4.5,,B,18,80.672,TP,ugP/L,North-Bot-B
250731001-001,TDP,,29-Jul-25,00-Jan-00,3.1,,,,0.193,TDP,ugP/L,Field Blank
